# Longitud de onda (micrones)	Flujo (W)
6.003997330450910885e-01	4.891326520175006567e-37
6.005470723717916126e-01	4.904599342830318080e-37
6.006944116984921367e-01	4.922136386517612797e-37
6.008417510251927718e-01	4.946965494118248629e-37
6.009890903518932959e-01	4.973552539865255718e-37
6.011364296785938199e-01	5.000187359930373145e-37
6.012837690052944550e-01	5.026822194511169637e-37
6.014311083319949791e-01	5.053457029091730591e-37
6.015784476586955032e-01	5.080091863672289040e-37
6.017257869853960273e-01	5.106726698252857512e-37
6.018731263120965513e-01	5.133361532833420137e-37
6.020204656387970754e-01	5.159996367414188231e-37
6.021678049654975995e-01	5.186631201994752526e-37
6.023151442921981236e-01	5.213266036575298446e-37
6.024624836188987587e-01	5.239900871155864412e-37
6.026098229455992827e-01	5.266535705736645035e-37
6.027571622722998068e-01	5.293170540317192625e-37
6.029045015990003309e-01	5.319805374897771955e-37
6.030518409257009660e-01	5.346440209478322052e-37
6.031991802524014901e-01	5.373075044058918086e-37
6.033465195791020141e-01	5.399709878639658617e-37
6.034938589058025382e-01	5.426344713220207043e-37
6.036411982325030623e-01	5.452979547800767162e-37
6.037885375592035864e-01	5.479614382381318094e-37
6.039358768859041104e-01	5.506249216962099551e-37
6.040832162126046345e-01	5.532884051542637119e-37
6.042305555393052696e-01	5.559518886123194733e-37
6.043778948660057937e-01	5.586153720703749005e-37
6.045252341927063178e-01	5.612788555284528793e-37
6.046725735194069529e-01	5.639423389865078889e-37
6.048199128461074769e-01	5.666058224445615622e-37
6.049672521728080010e-01	5.692693059026397914e-37
6.051145914995085251e-01	5.719327893606951352e-37
6.052619308262090492e-01	5.745962728187488084e-37
6.054092701529095732e-01	5.772597562768037346e-37
6.055566094796100973e-01	5.799232397348809616e-37
6.057039488063106214e-01	5.825867231929354701e-37
6.058512881330112565e-01	5.852502066509895609e-37
6.059986274597117806e-01	5.879136901090458234e-37
6.061459667864123046e-01	5.905771735671218811e-37
6.062933061131129397e-01	5.932406570251774754e-37
6.064406454398134638e-01	5.959041404832313157e-37
6.065879847665139879e-01	5.985676239413082086e-37
6.067353240932145120e-01	6.012311073993629677e-37
6.068826634199150361e-01	6.038945908574166409e-37
6.070300027466155601e-01	6.065580743154795018e-37
6.071773420733160842e-01	6.092215577735463719e-37
6.073246814000166083e-01	6.118850412315996275e-37
6.074720207267172434e-01	6.145485246896550548e-37
6.076193600534177675e-01	6.172120081477314465e-37
6.077666993801182915e-01	6.198754916057847022e-37
