Longitud de onda (micrones)	Flujo
2e-05	1.6877950856173889e-31
2.0129136e-05	2.081733034139269e-31
2.0259105e-05	2.5641644730173754e-31
2.0389914e-05	3.1541765495614065e-31
2.0521567e-05	3.8747984595077814e-31
2.0654071e-05	4.7537784597517425e-31
2.0787429e-05	5.824507086338779e-31
2.0921649e-05	7.127109278810752e-31
2.1056736e-05	8.709742687651476e-31
2.1192695e-05	1.0630128238421387e-30
2.1329531e-05	1.2957360576902303e-30
2.1467252e-05	1.577404329936911e-30
2.1605861e-05	1.91787996043003e-30
2.1745365e-05	2.3289240946030978e-30
2.1885771e-05	2.8245431834035874e-30
2.2027082e-05	3.42139741261695e-30
2.2169306e-05	4.139278857444786e-30
2.2312449e-05	5.0016717399726875e-30
2.2456516e-05	6.036405615044488e-30
2.2601512e-05	7.276419233310679e-30
2.2747446e-05	8.760653594923228e-30
2.2894321e-05	1.0535086228799338e-29
2.3042145e-05	1.2653940452680393e-29
2.3190923e-05	1.518108932332565e-29
2.3340662e-05	1.81916765507057e-29
2.3491367e-05	2.1774013726256516e-29
2.3643046e-05	2.6031753319780754e-29
2.3795704e-05	3.108642472509363e-29
2.3949348e-05	3.708033518204879e-29
2.4103983e-05	4.4179961063600013e-29
2.4259618e-05	5.257979779790524e-29
2.4416257e-05	6.250684319247783e-29
2.4573907e-05	7.422570226839822e-29
2.4732576e-05	8.804451988139212e-29
2.4892269e-05	1.043216993628323e-28
2.5052993e-05	1.234736665396441e-28
2.5214754e-05	1.4598372828596547e-28
2.5377561e-05	1.7241218176017084e-28
2.5541418e-05	2.0340790761832106e-28
2.5706334e-05	2.3972157882357816e-28
2.5872314e-05	2.822206178314567e-28
2.6039366e-05	3.3190642108821806e-28
2.6207496e-05	3.8993362704981654e-28
2.6376713e-05	4.576324973646051e-28
2.6547021e-05	5.3653366873746345e-28
2.671843e-05	6.283967183354709e-28
2.6890945e-05	7.352423911837334e-28
2.7064574e-05	8.59388666064979e-28
2.7239324e-05	1.0034922985247308e-27
2.7415202e-05	1.1705946430551139e-27
2.7592217e-05	1.3641744594166652e-27
2.7770374e-05	1.5882061436508745e-27
2.7949681e-05	1.84722676025672e-27
2.8130146e-05	2.1464093726151302e-27
2.8311776e-05	2.4916483695717484e-27
2.8494579e-05	2.8896507489460158e-27
2.8678563e-05	3.348043146254909e-27
2.8863734e-05	3.875489345667518e-27
2.9050101e-05	4.4818202055691166e-27
2.9237671e-05	5.178182404915875e-27
2.9426452e-05	5.9772007311734745e-27
2.9616453e-05	6.893162566513709e-27
2.980768e-05	7.942221525492413e-27
3.0000142e-05	9.142621477538861e-27
3.0193846e-05	1.0514952866883361e-26
3.0388801e-05	1.2082429724123586e-26
3.0585015e-05	1.387120145788859e-26
3.0782496e-05	1.5910697360330807e-26
3.0981252e-05	1.8234008734093386e-26
3.1181291e-05	2.0878311125639948e-26
3.1382622e-05	2.3885330062047853e-26
3.1585253e-05	2.7301860767148675e-26
3.1789192e-05	3.1180333466627087e-26
3.1994448e-05	3.557944532080082e-26
3.2201029e-05	4.0564851681872164e-26
3.2408944e-05	4.620992132576363e-26
3.2618202e-05	5.259658752134659e-26
3.2828811e-05	5.981625365843258e-26
3.3040779e-05	6.797081660961409e-26
3.3254116e-05	7.717376337696189e-26
3.3468831e-05	8.755139897822589e-26
3.3684932e-05	9.924416563167783e-26
3.3902429e-05	1.1240809979358277e-25
3.4121329e-05	1.2721643275284148e-25
3.4341643e-05	1.4386131050348873e-25
3.456338e-05	1.6255571478835438e-25
3.4786548e-05	1.8353549245345733e-25
3.5011157e-05	2.0706165781818854e-25
3.5237217e-05	2.334228097547842e-25
3.5464736e-05	2.6293778812335773e-25
3.5693724e-05	2.959586143839984e-25
3.5924191e-05	3.3287359553587236e-25
3.6156146e-05	3.741107761571789e-25
3.6389598e-05	4.201416247620587e-25
3.6624558e-05	4.714850079850466e-25
3.6861035e-05	5.2871159307446e-25
3.7099039e-05	5.924484947906708e-25
3.7338579e-05	6.633844022372666e-25
3.7579666e-05	7.422749843991838e-25
3.782231e-05	8.299488452208737e-25
3.8066521e-05	9.273138814298112e-25
3.8312308e-05	1.0353641911393677e-24
3.8559682e-05	1.1551873704689902e-24
3.8808654e-05	1.2879725957168146e-24
3.9059233e-05	1.4350190140939434e-24
3.931143e-05	1.5977451093898602e-24
3.9565255e-05	1.777698225925625e-24
3.982072e-05	1.9765656218086524e-24
4.0077834e-05	2.1961853065888576e-24
4.0336608e-05	2.438558396550994e-24
4.0597052e-05	2.7058623495304743e-24
4.0859179e-05	3.0004640345777498e-24
4.1122998e-05	3.324935477107268e-24
4.138852e-05	3.6820689346908314e-24
4.1655757e-05	4.074894284523161e-24
4.1924719e-05	4.506696971625939e-24
4.2195418e-05	4.98103666970895e-24
4.2467865e-05	5.501768404406461e-24
4.2742071e-05	6.073063839549042e-24
4.3018047e-05	6.699434123930314e-24
4.3295805e-05	7.385755322626869e-24
4.3575357e-05	8.137293286030261e-24
4.3856714e-05	8.959732394795888e-24
4.4139887e-05	9.85920373638276e-24
4.4424889e-05	1.0842317302185005e-23
4.4711731e-05	1.1916193634354931e-23
4.5000425e-05	1.3088499414805744e-23
4.5290983e-05	1.43674840145373e-23
4.5583417e-05	1.5762018877791447e-23
4.5877739e-05	1.7281636179102045e-23
4.6173962e-05	1.8936574568739757e-23
4.6472097e-05	2.0737824201848435e-23
4.6772157e-05	2.2697175583586103e-23
4.7074155e-05	2.4827265065782394e-23
4.7378103e-05	2.714163690818752e-23
4.7684013e-05	2.9654790730992703e-23
4.7991899e-05	3.238224648597977e-23
4.8301772e-05	3.534060065607604e-23
4.8613646e-05	3.8547598467215453e-23
4.8927534e-05	4.20221909826612e-23
4.9243448e-05	4.5784620399436214e-23
4.9561403e-05	4.9856481390535955e-23
4.988141e-05	5.426080707548373e-23
5.0203484e-05	5.902214872275967e-23
5.0527637e-05	6.416666050707979e-23
5.0853883e-05	6.972218926734461e-23
5.1182235e-05	7.571836871433456e-23
5.1512708e-05	8.218671441941718e-23
5.1845314e-05	8.916072615300632e-23
5.2180069e-05	9.667599596233452e-23
5.2516984e-05	1.0477031049177868e-22
5.2856075e-05	1.1348377845428965e-22
5.3197355e-05	1.2285894203359685e-22
5.3540839e-05	1.3294089919800637e-22
5.3886541e-05	1.437774239156114e-22
5.4234474e-05	1.5541911913641363e-22
5.4584655e-05	1.6791955315771498e-22
5.4937096e-05	1.8133539264300523e-22
5.5291813e-05	1.9572653647612536e-22
5.5648821e-05	2.111563193622074e-22
5.6008133e-05	2.2769160718407383e-22
5.6369765e-05	2.454030281190074e-22
5.6733733e-05	2.6436508185888425e-22
5.710005e-05	2.8465637260166723e-22
5.7468733e-05	3.06359721131344e-22
5.7839796e-05	3.295624446144264e-22
5.8213255e-05	3.5435646801427023e-22
5.8589126e-05	3.8083855139820993e-22
5.8967423e-05	4.0911051480415375e-22
5.9348163e-05	4.392794294008049e-22
5.9731362e-05	4.714578260499917e-22
6.0117034e-05	5.0576394151859035e-22
6.0505197e-05	5.423219540123026e-22
6.0895866e-05	5.81262184088247e-22
6.1289057e-05	6.227213288534964e-22
6.1684788e-05	6.668427970956081e-22
6.2083073e-05	7.137768471955106e-22
6.248393e-05	7.636809214518614e-22
6.2887375e-05	8.167199043099905e-22
6.3293426e-05	8.730664036004245e-22
6.3702098e-05	9.329008739024777e-22
6.4113408e-05	9.964122376773976e-22
6.4527375e-05	1.0637978391130857e-21
6.4944014e-05	1.135263952634862e-21
6.5363344e-05	1.2110258589016402e-21
6.5785381e-05	1.2913084120661618e-21
6.6210143e-05	1.3763463400574842e-21
6.6637647e-05	1.4663842672178731e-21
6.7067912e-05	1.5616771775404992e-21
6.7500955e-05	1.6624911998621503e-21
6.7936795e-05	1.7691030904142904e-21
6.8375448e-05	1.88180130934604e-21
6.8816933e-05	2.0008858493020055e-21
6.926127e-05	2.1266689878289463e-21
6.9708475e-05	2.259475390776357e-21
7.0158567e-05	2.399642583959966e-21
7.0611566e-05	2.5475213595273564e-21
7.106749e-05	2.70347573158966e-21
7.1526357e-05	2.8678839617748096e-21
7.1988187e-05	3.0411384406381978e-21
7.2453e-05	3.2236462073683897e-21
7.2920813e-05	3.415829471388844e-21
7.3391647e-05	3.618125710858549e-21
7.3865521e-05	3.8309881720994874e-21
7.4342455e-05	4.054886463764423e-21
7.4822468e-05	4.2903066079449404e-21
7.5305581e-05	4.5377517642673096e-21
7.5791813e-05	4.797742176156436e-21
7.6281184e-05	5.070815945278295e-21
7.6773715e-05	5.357529262610228e-21
7.7269427e-05	5.658456938083966e-21
7.7768339e-05	5.9741926500823264e-21
7.8270472e-05	6.305349214655263e-21
7.8775848e-05	6.6525595748426284e-21
7.9284486e-05	7.01647578292645e-21
7.9796409e-05	7.397771724796112e-21
8.0311637e-05	7.797140334565222e-21
8.0830192e-05	8.215297983133562e-21
8.1352096e-05	8.652979814434836e-21
8.1877369e-05	9.11094658503341e-21
8.2406033e-05	9.589977186848544e-21
8.2938111e-05	1.0090876896567082e-20
8.3473625e-05	1.0614471101155736e-20
8.4012596e-05	1.1161611282738333e-20
8.4555047e-05	1.173317033786969e-20
8.5101001e-05	1.233004729543356e-20
8.565048e-05	1.295316304159405e-20
8.6203506e-05	1.3603466673963125e-20
8.6760104e-05	1.4281928800738612e-20
8.7320295e-05	1.498954748646602e-20
8.7884104e-05	1.572734605589666e-20
8.8451552e-05	1.6496374281534687e-20
8.9022665e-05	1.7297707746278217e-20
8.9597465e-05	1.8132448207826406e-20
9.0175977e-05	1.900172556159792e-20
9.0758223e-05	1.990669461416046e-20
9.134423e-05	2.0848539886539575e-20
9.193402e-05	2.1828471964825022e-20
9.2527618e-05	2.2847729926538023e-20
9.3125049e-05	2.390758007624218e-20
9.3726337e-05	2.500931850332083e-20
9.4331508e-05	2.6154267273911462e-20
9.4940586e-05	2.734377965687116e-20
9.5553597e-05	2.8579236316960074e-20
9.6170566e-05	2.9862046690037886e-20
9.6791519e-05	3.119364896329728e-20
9.7416481e-05	3.2575511379931353e-20
9.8045478e-05	3.4009131363869914e-20
9.8678537e-05	3.5496034314046977e-20
9.9315683e-05	3.7037776927603386e-20
9.9956943e-05	3.863594417167035e-20
0.00010060234	4.0292149318541336e-20
0.00010125191	4.2008038451530627e-20
0.00010190567	4.378528449487937e-20
0.00010256366	4.562559041841898e-20
0.00010322589	4.7530690134320885e-20
0.00010389239	4.950234253520785e-20
0.00010456321	5.1542342723511746e-20
0.00010523835	5.365251190052251e-20
0.00010591785	5.583469404910445e-20
0.00010660174	5.809077318425978e-20
0.00010729004	6.042265513057703e-20
0.00010798279	6.28322758361558e-20
0.00010868001	6.53216025644051e-20
0.00010938174	6.789262825782574e-20
0.00011008799	7.054737886546143e-20
0.0001107988	7.328789319862535e-20
0.00011151421	7.611625366992226e-20
0.00011223423	7.903456918064003e-20
0.0001129589	8.204496764621611e-20
0.00011368826	8.514960791674272e-20
0.00011442232	8.835067518964646e-20
0.00011516112	9.165037848032203e-20
0.00011590469	9.505095983728711e-20
0.00011665306	9.855467726662781e-20
0.00011740626	1.0216381503895361e-19
0.00011816433	1.0588069594798291e-19
0.00011892729	1.0970764217802283e-19
0.00011969518	1.136470243563962e-19
0.00012046802	1.1770122056365318e-19
0.00012124586	1.2187262735068918e-19
0.00012202872	1.2616369005209184e-19
0.00012281663	1.305768457172034e-19
0.00012360963	1.3511456029458695e-19
0.00012440775	1.3977933066810397e-19
0.00012521103	1.4457367504934848e-19
0.00012601949	1.4950010606556164e-19
0.00012683317	1.54561174135013e-19
0.0001276521	1.5975946083491349e-19
0.00012847633	1.6509753281610662e-19
0.00012930587	1.7057799695769016e-19
0.00013014077	1.7620347180596695e-19
0.00013098106	1.8197658406010456e-19
0.00013182678	1.8789997321933012e-19
0.00013267795	1.9397631112889838e-19
0.00013353463	2.0020826778852225e-19
0.00013439683	2.065985157139598e-19
0.0001352646	2.1314976495497766e-19
0.00013613798	2.1986471857356663e-19
0.00013701699	2.2674609444562793e-19
0.00013790168	2.337966065843262e-19
0.00013879208	2.4101899875969897e-19
0.00013968823	2.484160222013205e-19
0.00014059017	2.5599040522979908e-19
0.00014149793	2.6374491874553047e-19
0.00014241155	2.7168231214295665e-19
0.00014333107	2.7980535800174248e-19
0.00014425653	2.8811681609506e-19
0.00014518796	2.966194360822334e-19
0.00014612541	3.0531601824205263e-19
0.00014706891	3.142093250200315e-19
