# Longitud de onda (micrones)	Flujo (W)
6.003997330451e-01	4.950378133959e-37
6.005470723718e-01	4.963715900683e-37
6.006944116985e-01	4.981332575167e-37
6.008417510252e-01	5.006266428717e-37
6.009890903519e-01	5.032964275063e-37
6.011364296786e-01	5.059710060269e-37
6.012837690053e-01	5.086455860042e-37
6.014311083320e-01	5.113201659814e-37
6.015784476587e-01	5.139947459586e-37
6.017257869854e-01	5.166693259358e-37
6.018731263121e-01	5.193439059130e-37
6.020204656388e-01	5.220184858902e-37
6.021678049655e-01	5.246930658674e-37
6.023151442922e-01	5.273676458446e-37
6.024624836189e-01	5.300422258218e-37
6.026098229456e-01	5.327168057991e-37
6.027571622723e-01	5.353913857763e-37
6.029045015990e-01	5.380659657535e-37
6.030518409257e-01	5.407405457307e-37
6.031991802524e-01	5.434151257079e-37
6.033465195791e-01	5.460897056851e-37
6.034938589058e-01	5.487642856623e-37
6.036411982325e-01	5.514388656395e-37
6.037885375592e-01	5.541134456168e-37
6.039358768859e-01	5.567880255940e-37
6.040832162126e-01	5.594626055712e-37
6.042305555393e-01	5.621371855484e-37
6.043778948660e-01	5.648117655256e-37
6.045252341927e-01	5.674863455028e-37
6.046725735194e-01	5.701609254800e-37
6.048199128461e-01	5.728355054573e-37
6.049672521728e-01	5.755100854345e-37
6.051145914995e-01	5.781846654117e-37
6.052619308262e-01	5.808592453889e-37
6.054092701529e-01	5.835338253661e-37
6.055566094796e-01	5.862084053433e-37
6.057039488063e-01	5.888829853205e-37
6.058512881330e-01	5.915575652977e-37
6.059986274597e-01	5.942321452750e-37
6.061459667864e-01	5.969067252522e-37
6.062933061131e-01	5.995813052294e-37
6.064406454398e-01	6.022558852066e-37
6.065879847665e-01	6.049304651838e-37
6.067353240932e-01	6.076050451610e-37
6.068826634199e-01	6.102796251382e-37
6.070300027466e-01	6.129542051155e-37
6.071773420733e-01	6.156287850927e-37
6.073246814000e-01	6.183033650699e-37
6.074720207267e-01	6.209779450471e-37
6.076193600534e-01	6.236525250243e-37
6.077666993801e-01	6.263271050015e-37
6.079140387068e-01	6.290016849787e-37
6.080613780335e-01	6.316762649560e-37
6.082087173602e-01	6.343508449332e-37
6.083560566869e-01	6.370254249104e-37
6.085033960136e-01	6.397000048876e-37
6.086507353403e-01	6.423745848648e-37
6.087980746670e-01	6.450491648420e-37
6.089454139937e-01	6.477237448192e-37
6.090927533204e-01	6.503983247964e-37
6.092400926471e-01	6.530729047737e-37
6.093874319738e-01	6.557474847509e-37
6.095347713005e-01	6.584220647281e-37
6.096821106272e-01	6.610966447053e-37
6.098294499539e-01	6.637712246825e-37
6.099767892806e-01	6.664458046597e-37
6.101241286073e-01	6.691203846369e-37
6.102714679340e-01	6.717949646142e-37
6.104188072607e-01	6.744695445914e-37
6.105661465874e-01	6.771441245686e-37
6.107134859141e-01	6.798187045458e-37
6.108608252408e-01	6.824932845230e-37
6.110081645675e-01	6.851678645002e-37
6.111555038942e-01	6.878424444774e-37
6.113028432209e-01	6.905170244546e-37
6.114501825476e-01	6.931916044319e-37
6.115975218743e-01	6.958661844091e-37
6.117448612010e-01	6.985407643863e-37
6.118922005277e-01	7.012153443635e-37
6.120395398544e-01	7.038899243407e-37
6.121868791811e-01	7.065645043179e-37
6.123342185078e-01	7.092390842951e-37
6.124815578345e-01	7.119136642723e-37
6.126288971612e-01	7.145882442496e-37
6.127762364879e-01	7.172628242268e-37
6.129235758146e-01	7.199374042040e-37
6.130709151413e-01	7.226119841812e-37
6.132182544680e-01	7.252865641584e-37
